date,sunrise_hour,sunset_hour,daylength
2007-01-01,8,16,8
2007-01-02,8,16,8
2007-01-03,8,16,8
2007-01-04,8,16,8
2007-01-05,8,16,8
2007-01-06,8,16,8
2007-01-07,8,16,8
2007-01-08,8,16,8
2007-01-09,8,16,8
2007-01-10,8,16,8
2007-01-11,8,16,8
2007-01-12,7,16,9
2007-01-13,7,16,9
2007-01-14,7,16,9
2007-01-15,7,16,9
2007-01-16,7,16,9
2007-01-17,7,16,9
2007-01-18,7,16,9
2007-01-19,7,16,9
2007-01-20,7,16,9
2007-01-21,7,17,10
2007-01-22,7,17,10
2007-01-23,7,17,10
2007-01-24,7,17,10
2007-01-25,7,17,10
2007-01-26,7,17,10
2007-01-27,7,17,10
2007-01-28,7,17,10
2007-01-29,7,17,10
2007-01-30,7,17,10
2007-01-31,7,17,10
2007-02-01,7,17,10
2007-02-02,7,17,10
2007-02-03,7,17,10
2007-02-04,7,17,10
2007-02-05,7,17,10
2007-02-06,7,17,10
2007-02-07,7,17,10
2007-02-08,7,17,10
2007-02-09,7,17,10
2007-02-10,7,17,10
2007-02-11,7,17,10
2007-02-12,7,17,10
2007-02-13,7,17,10
2007-02-14,7,17,10
2007-02-15,7,17,10
2007-02-16,7,17,10
2007-02-17,7,17,10
2007-02-18,7,17,10
2007-02-19,7,17,10
2007-02-20,7,17,10
2007-02-21,7,17,10
2007-02-22,7,17,10
2007-02-23,7,17,10
2007-02-24,7,17,10
2007-02-25,7,17,10
2007-02-26,7,17,10
2007-02-27,7,17,10
2007-02-28,6,17,11
2007-03-01,6,17,11
2007-03-02,6,18,12
2007-03-03,6,18,12
2007-03-04,6,18,12
2007-03-05,6,18,12
2007-03-06,6,18,12
2007-03-07,6,18,12
2007-03-08,6,18,12
2007-03-09,6,18,12
2007-03-10,6,18,12
2007-03-11,6,18,12
2007-03-12,6,18,12
2007-03-13,6,18,12
2007-03-14,6,18,12
2007-03-15,6,18,12
2007-03-16,6,18,12
2007-03-17,6,18,12
2007-03-18,6,18,12
2007-03-19,6,18,12
2007-03-20,6,18,12
2007-03-21,6,18,12
2007-03-22,6,18,12
2007-03-23,6,18,12
2007-03-24,6,18,12
2007-03-25,7,19,12
2007-03-26,7,19,12
2007-03-27,7,19,12
2007-03-28,7,19,12
2007-03-29,7,19,12
2007-03-30,6,19,13
2007-03-31,6,19,13
2007-04-01,6,19,13
2007-04-02,6,19,13
2007-04-03,6,19,13
2007-04-04,6,19,13
2007-04-05,6,19,13
2007-04-06,6,19,13
2007-04-07,6,19,13
2007-04-08,6,19,13
2007-04-09,6,19,13
2007-04-10,6,19,13
2007-04-11,6,19,13
2007-04-12,6,19,13
2007-04-13,6,20,14
2007-04-14,6,20,14
2007-04-15,6,20,14
2007-04-16,6,20,14
2007-04-17,6,20,14
2007-04-18,6,20,14
2007-04-19,6,20,14
2007-04-20,6,20,14
2007-04-21,6,20,14
2007-04-22,6,20,14
2007-04-23,6,20,14
2007-04-24,6,20,14
2007-04-25,6,20,14
2007-04-26,6,20,14
2007-04-27,6,20,14
2007-04-28,6,20,14
2007-04-29,6,20,14
2007-04-30,6,20,14
2007-05-01,6,20,14
2007-05-02,5,20,15
2007-05-03,5,20,15
2007-05-04,5,20,15
2007-05-05,5,20,15
2007-05-06,5,20,15
2007-05-07,5,20,15
2007-05-08,5,20,15
2007-05-09,5,20,15
2007-05-10,5,20,15
2007-05-11,5,20,15
2007-05-12,5,20,15
2007-05-13,5,20,15
2007-05-14,5,20,15
2007-05-15,5,20,15
2007-05-16,5,20,15
2007-05-17,5,20,15
2007-05-18,5,20,15
2007-05-19,5,20,15
2007-05-20,5,20,15
2007-05-21,5,20,15
2007-05-22,5,20,15
2007-05-23,5,20,15
2007-05-24,5,20,15
2007-05-25,5,20,15
2007-05-26,5,20,15
2007-05-27,5,20,15
